Tid	Kanal A
(s)	(V)

-1.85934797	1.24335600
-1.85901464	1.24335600
-1.85868130	1.24335600
-1.85834797	1.24335600
-1.85801463	1.24335600
-1.85768129	1.24335600
-1.85734796	1.24335600
-1.85701462	1.26187300
-1.85668129	1.24335600
-1.85634795	1.24335600
-1.85601461	1.24335600
-1.85568128	1.24335600
-1.85534794	1.24335600
-1.85501461	1.24335600
-1.85468127	1.22477900
-1.85434793	1.22477900
-1.85401460	1.22477900
-1.85368126	1.22477900
-1.85334793	1.22477900
-1.85301459	1.22477900
-1.85268125	1.22477900
-1.85234792	1.22477900
-1.85201458	1.22477900
-1.85168125	1.22477900
-1.85134791	1.20620100
-1.85101457	1.22477900
-1.85068124	1.22477900
-1.85034790	1.22477900
-1.85001457	1.20620100
-1.84968123	1.20620100
-1.84934789	1.20620100
-1.84901456	1.20620100
-1.84868122	1.20620100
-1.84834789	1.20620100
-1.84801455	1.20620100
-1.84768121	1.20620100
-1.84734788	1.20620100
-1.84701454	1.20620100
-1.84668121	1.20620100
-1.84634787	1.22477900
-1.84601453	1.22477900
-1.84568120	1.22477900
-1.84534786	1.22477900
-1.84501453	1.22477900
-1.84468119	1.22477900
-1.84434785	1.22477900
-1.84401452	1.22477900
-1.84368118	1.22477900
-1.84334785	1.22477900
-1.84301451	1.22477900
-1.84268118	1.22477900
-1.84234784	1.22477900
-1.84201450	1.22477900
-1.84168117	1.24335600
-1.84134783	1.22477900
-1.84101450	1.24335600
-1.84068116	1.22477900
-1.84034782	1.24335600
-1.84001449	1.22477900
-1.83968115	1.22477900
-1.83934782	1.22477900
-1.83901448	1.22477900
-1.83868114	1.22477900
-1.83834781	1.22477900
-1.83801447	1.22477900
-1.83768114	1.22477900
-1.83734780	1.22477900
-1.83701446	1.22477900
-1.83668113	1.22477900
-1.83634779	1.22477900
-1.83601446	1.22477900
-1.83568112	1.22477900
-1.83534778	1.22477900
-1.83501445	1.22477900
-1.83468111	1.22477900
-1.83434778	1.22477900
-1.83401444	1.22477900
-1.83368110	1.24335600
-1.83334777	1.22477900
-1.83301443	1.24335600
-1.83268110	1.22477900
-1.83234776	1.24335600
-1.83201442	1.22477900
-1.83168109	1.22477900
-1.83134775	1.22477900
